"id","nome_mercado","rua","telefone"
1,"Pinheirão Supermercados","Avenida Prof. Celso Ferreira da Silva, 1400 "," (14) 3711-9999"
2,"Central Supermercados","Av. Leonardo Vilas Boas, 2884 "," (14) 3815-8526"
3,"Paulista Supermercados loja 1","R. Ângelo Simoneti, 450 "," (14) 3882-6017"
4,"Central Supermercados","R. Amando de Barros, 1205 "," (14) 3811-5555"
5,"Central Supermercados","Av. Dep. Dante Delmanto, 2782 "," (14) 3814-6400"
6,"Confiança Supermercados","R. Emílio Cani, 899 "," (14) 3811-2670"
7,"Pão de Açúcar - Botucatu","R. Cel. Fonseca, 444 "," 0800 779 6761"
8,"Supermercado Preço Bom","R. Francisco Figueira, 498 "," (14) 99834-7133"
9,"Ideal Max Supermercado","R. Caetano Vidoto, 109 "," (14) 3813-8101"
10,"Val Supermercado","R. José Michelin, 90 "," (14) 3813-8356"
11,"Panda Supermercado Botucatu","Rua Lourenço Carmello, 808 "," (14) 99745-1318"
12,"Supermercado Ypê Botucatu","Av. Joaquim Amaral Amando de Barros, 1064 "," (14) 98199-4046"
13,"Jaú Serve Supermercados","R. Floriano Simões, 239 "," (14) 3882-4711"
14,"SUPERMERCADO VILLAS","R. Joaquim García, 101 "," (14) 3440-1121"
15,"Central Supermercados","Av. Prof. Rafael Laurindo, 703 "," (14) 3882-6688"
16,"Jaú Serve Supermercados","Av. Mal. Floriano Peixoto, 575 "," (14) 3882-0442"
17,"Supermercado Lameu","R. Joaquim Garcia 197 - Lot "," (14) 3354-7324"
18,"Panelão Supermercados","R. Cel. Joaquim Leandro de Oliveira, 370 "," (14) 3881-1101"
19,"Jaú Serve Supermercados","R. Fausto Líra Brandão, 45 "," (14) 3813-7253"
20,"DIA Supermercado","Av. Santana, 418",NA
21,"Manzini Supermercados Loja 2","R. Carlos Bauer Filho, 324 "," (14) 3813-2796"
22,"Jaú Serve Supermercados","Rua Olávo Bilac, 150 "," (14) 3264-2211"
23,"Manzini Supermercados Loja 1","R. Benedito Rodrigues da Silva, 94 "," (14) 3882-1949"
24,"Manzini Supermercados Loja 3","R. João Modesto, 45 "," (14) 3813-5136"
25,"Jaú Serve Supermercados","Rua Floriano Simões, 239 "," (14) 3882-4711"
26,"SUPERMERCADO SERVE TODOS","R. Francisco Dellevedove Neto, Caimâ Esquina com Luiz Casteleti Residencial "," (14) 99898-4818"
28,"Marluce Supermercado","R. Antônio Madureira, 466 "," (14) 99808-6943"
29,"Top compras Supermercado","Av. Joaquim Amaral Amando de Barros, 3311",NA
30,"Jaú Serve Supermercados","Av. Floriano Peixoto, 575 "," (14) 3882-0442"
31,"Jaú Serve Supermercados","Rua Fausto Líra Brandão, 45 "," (14) 3815-5330"
32,"Jaú Serve Supermercados","Rua Sete De Setembro, 900 "," (14) 3841-4053"
33,"Confiança Supermercados","R. Emílio Cani, 899",NA
34,"Supermercado Manzini Loja 4","Av. Dr. Jaime de Almeida Pinto, 990 "," (14) 3813-6676"
